cohort_name,estimate,value,diagnostics,source
antepartum_haemorrhage,Clinical description,"Antepartum haemorrhage is any bleeding from the vagina occurring after 24 weeks of gestation and before the birth of the baby. It is primarily caused by issues related to the placenta, such as placenta praevia, placental abruption, or vasa praevia, where foetal blood vessels cross or run close to the cervical opening.",cohort_count,gemini-2.5-flash
antepartum_haemorrhage,Frequency,"Antepartum haemorrhage occurs in approximately 3% to 5% of pregnancies and is a significant obstetric emergency. Cases are typically well-documented in hospital and maternity records, making them identifiable in real-world healthcare data.",cohort_count,gemini-2.5-flash
antepartum_haemorrhage,Median age of incident cases,"25 to 35 (As antepartum haemorrhage affects pregnant individuals, the median age typically falls within the reproductive years, reflecting the general age range of women giving birth.)",cohort_characteristics,gemini-2.5-flash
antepartum_haemorrhage,Percentage male,"0% to 0% (As antepartum haemorrhage is a complication of pregnancy, it exclusively affects individuals who are pregnant.)",cohort_characteristics,gemini-2.5-flash
antepartum_haemorrhage,Survival at five years,"98% to 99% (For the mother, survival is very high in developed healthcare settings due to timely medical intervention, but foetal survival rates can vary significantly depending on the cause and gestational age.)",cohort_survival,gemini-2.5-flash
antepartum_haemorrhage,Cohort overlap,"Antepartum haemorrhage would have very high overlap with 'postpartum haemorrhage' (30-60%) and 'preterm labour' (30-50%), high overlap with 'preeclampsia' (20-40%) and 'stillbirth' (10-25%), moderate overlap with 'obesity_pregnant' (20-40%), 'gestational_diabetes' (10-25%), 'dysfunctional_labour' (5-20%), 'disseminated intravascular coagulation pregnant' (5-15%), 'eclampsia' (5-15%) and 'hellp' (5-10%). Overlap with 'maternal death' would be 1-5%. Overlap with 'deep vein thrombosis pregnant' and 'pulmonary embolism pregnant' would be 1-5%. There would be negligible or no overlap with 'ectopic pregnancy', 'miscarriage', 'postpartum endometritis', 'anaphylaxis pregnant', 'bells palsy pregnant', 'encephalitis pregnant', 'guillain barre syndrome pregnant', 'haemorrhagic stroke pregnant', 'immune thrombocytopenia pregnant', 'ischaemic stroke pregnant', 'myocardial infarction pregnant', 'myocarditis or pericarditis pregnant', 'transverse myelitis pregnant', 'narcolepsy pregnant', and 'thrombosis thrombocytopenia syndrome pregnant'. There would be 100% overlap with 'mother table'.",compare_cohorts,gemini-2.5-flash
antepartum_haemorrhage,Cohort timing,"Individuals with antepartum haemorrhage would typically enter the 'mother table' first upon pregnancy registration. 'Gestational diabetes' and 'obesity pregnant' would typically precede antepartum haemorrhage by weeks to months, as they are pre-existing conditions or chronic pregnancy diagnoses. 'Preeclampsia', 'eclampsia', and 'hellp' may precede antepartum haemorrhage by days to weeks, or present concurrently, particularly if placental abruption is the cause. 'Dysfunctional labour' and 'preterm labour' would generally follow antepartum haemorrhage by hours to days, as the haemorrhage often triggers or necessitates delivery. 'Disseminated intravascular coagulation pregnant' would typically follow severe antepartum haemorrhage by hours. 'Postpartum haemorrhage' and 'stillbirth' are common immediate outcomes, following within hours of the antepartum haemorrhage event. 'Maternal death' would typically follow a severe antepartum haemorrhage event within hours to days.",compare_cohorts,gemini-2.5-flash
antepartum_haemorrhage,Frequently seen comorbidities,"Preeclampsia, Placental abruption, Placenta praevia, Gestational diabetes, Obesity (pregnant), Chronic hypertension, Multiple gestation, Previous caesarean section, Anaemia, Smoking (Many comorbidities are underlying risk factors for, or direct causes of, the conditions leading to antepartum haemorrhage, such as preeclampsia and previous uterine surgery.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
antepartum_haemorrhage,Frequently seen signs and symptoms,"Vaginal bleeding, Abdominal pain, Uterine tenderness, Uterine contractions, Foetal distress, Maternal hypotension, Tachycardia, Pallor, Dizziness, Shock (The most common signs and symptoms directly reflect the primary event of haemorrhage and its systemic effects on the mother, as well as the impact on the foetus.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
antepartum_haemorrhage,Frequently seen medications,"Intravenous fluids, Packed red blood cells, Betamethasone, Nifedipine, Anti-D immunoglobulin, Iron supplements, Labetalol, Hydralazine, Paracetamol, Morphine (Medications are administered to stabilise the mother's haemodynamic status, manage potential complications like hypertension, promote foetal lung maturity if preterm delivery is likely, and provide pain relief.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
dysfunctional_labour,Clinical description,"Dysfunctional labour, also known as labour dystocia or failure to progress, refers to a deviation from the normal pattern of labour, typically characterised by slow or absent cervical dilation, or slow or absent descent of the foetal presenting part, caused by issues with the powers (uterine contractions), the passenger (foetus), or the passage (pelvis). It often results from ineffective uterine contractions, a large foetus, or an abnormally shaped pelvis.",cohort_count,gemini-2.5-flash
dysfunctional_labour,Frequency,"Dysfunctional labour is a common obstetric complication, accounting for a significant proportion of caesarean sections and operative vaginal deliveries. Cases can readily be identified in electronic healthcare records from both hospital and primary care settings, as well as in insurance claims data, due to the need for medical intervention and monitoring.",cohort_count,gemini-2.5-flash
dysfunctional_labour,Median age of incident cases,"28 to 35 (Individuals presenting with dysfunctional labour are typically of childbearing age, with the median age reflecting the general demographic of pregnant individuals, which has seen an increase in older maternal age.)",cohort_characteristics,gemini-2.5-flash
dysfunctional_labour,Percentage male,"0% to 0% (Dysfunctional labour is a condition of pregnancy and childbirth, and therefore occurs exclusively in individuals who are biologically female and pregnant.)",cohort_characteristics,gemini-2.5-flash
dysfunctional_labour,Survival at five years,"99% to 100% (Maternal five-year survival after experiencing dysfunctional labour is extremely high, as the condition is generally well-managed in healthcare settings and is rarely directly life-threatening.)",cohort_survival,gemini-2.5-flash
dysfunctional_labour,Cohort overlap,"You would expect a high overlap (99-100%) with 'mother_table', as anyone experiencing dysfunctional labour is by definition a mother or pregnant individual. Moderate overlap (10-30%) would be expected with 'obesity_pregnant', 'gestational_diabetes', and 'preeclampsia' as these are common risk factors. Moderate overlap (5-20%) with 'postpartum_haemorrhage' and 'stillbirth' is expected, as dysfunctional labour is a significant risk factor for these complications. Lower overlap (1-5%) with 'preterm_labour' is possible, as preterm labour can also be dysfunctional. Overlap with 'ectopic_pregnancy' or 'miscarriage' would be negligible (0%), as these conditions occur much earlier in pregnancy.",compare_cohorts,gemini-2.5-flash
dysfunctional_labour,Cohort timing,"For individuals in the 'obesity_pregnant', 'gestational_diabetes', and 'preeclampsia' cohorts, entry into those cohorts would typically precede or be concurrent with entry into the dysfunctional labour cohort. For 'postpartum_haemorrhage', 'postpartum_endometritis', and 'stillbirth', entry into these cohorts would typically occur concurrently or within hours to days after entry into the dysfunctional labour cohort, as they are often direct complications. Entry into 'mother_table' would be concurrent, as dysfunctional labour identifies a mother during childbirth.",compare_cohorts,gemini-2.5-flash
dysfunctional_labour,Frequently seen comorbidities,"Obesity, Gestational diabetes, Preeclampsia, Advanced maternal age, Nulliparity, Prior caesarean section, Multiple pregnancy, Foetal macrosomia, Cephalopelvic disproportion, Polyhydramnios (These comorbidities are often present in individuals experiencing dysfunctional labour as they can contribute to ineffective contractions, foetal size issues, or pelvic mechanical problems, increasing the risk of labour dystocia.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
dysfunctional_labour,Frequently seen signs and symptoms,"Prolonged active phase of labour, Secondary arrest of cervical dilation, Arrest of foetal descent, Protracted cervical dilation, Protracted foetal descent, Ineffective uterine contractions, Maternal exhaustion, Foetal distress, Caput succedaneum, Moulding of the foetal head (These signs and symptoms directly reflect the definition of dysfunctional labour, where the normal progression of cervical dilation or foetal descent is stalled or abnormally slow, often accompanied by changes in maternal and foetal wellbeing.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
dysfunctional_labour,Frequently seen medications,"Oxytocin, Prostaglandin E2, Dinoprostone, Misoprostol, Nalbuphine, Pethidine, Epidural analgesia, Paracetamol, Ondansetron, Amoxicillin (Medications are commonly used to manage dysfunctional labour, including uterotonics to augment contractions, prostaglandins for cervical ripening, analgesics for pain relief, antiemetics for nausea, and antibiotics if infection is suspected, particularly in prolonged labour.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
eclampsia,Clinical description,"Eclampsia is the convulsive manifestation of pre-eclampsia, characterised by new-onset tonic-clonic seizures in a woman with pre-eclampsia in the absence of other causes for seizures. It is a severe complication of pregnancy, typically occurring after 20 weeks of gestation, during labour, or in the postpartum period.",cohort_count,gemini-2.5-flash
eclampsia,Frequency,"Eclampsia is a rare but severe complication of pregnancy, affecting approximately 1 in 2,000 to 1 in 10,000 pregnancies, though incidence varies significantly by region. Cases can be identified in electronic healthcare records, hospital discharge data, and insurance claims data, particularly from maternity or emergency departments.",cohort_count,gemini-2.5-flash
eclampsia,Median age of incident cases,"25 to 35 (Eclampsia can occur at any maternal age, but it is often seen in younger, nulliparous women, or older women with pre-existing risk factors.)",cohort_characteristics,gemini-2.5-flash
eclampsia,Percentage male,"0% to 1% (Eclampsia is a complication of pregnancy, thus almost exclusively affecting individuals who are biologically female and pregnant.)",cohort_characteristics,gemini-2.5-flash
eclampsia,Survival at five years,"95% to 99% (While eclampsia is a life-threatening condition, with appropriate medical management in developed countries, the maternal mortality rate is low, leading to a high five-year survival rate for individuals who survive the acute event.)",cohort_survival,gemini-2.5-flash
eclampsia,Cohort overlap,"pregnant_alcohol_misuse: 0-5%, antepartum_haemorrhage: 5-15%, dysfunctional_labour: 10-20%, ectopic_pregnancy: 0%, gestational_diabetes: 10-20%, hellp: 20-50%, preeclampsia: 95-100%, postpartum_endometritis: 0-5%, postpartum_haemorrhage: 15-30%, maternal_death: 1-5%, miscarriage: 0%, preterm_labour: 30-60%, anaphylaxis_pregnant: 0-1%, bells_palsy_pregnant: 0-1%, deep_vein_thrombosis_pregnant: 5-10%, disseminated_intravascular_coagulation_pregnant: 5-15%, encephalitis_pregnant: 0-1%, guillain_barre_syndrome_pregnant: 0-1%, haemorrhagic_stroke_pregnant: 5-10%, immune_thrombocytopenia_pregnant: 1-5%, ischaemic_stroke_pregnant: 1-5%, myocardial_infarction_pregnant: 0-1%, myocarditis_or_pericarditis_pregnant: 0-1%, pulmonary_embolism_pregnant: 1-5%, transverse_myelitis_pregnant: 0-1%, narcolepsy_pregnant: 0-1%, thrombosis_thrombocytopenia_syndrome_pregnant: 0-1%, obesity_pregnant: 20-40%, mother_table: 100%, stillbirth: 5-15%",compare_cohorts,gemini-2.5-flash
eclampsia,Cohort timing,"Individuals with eclampsia will have entered the mother_table cohort much earlier (typically months before diagnosis); preeclampsia usually precedes eclampsia by days or weeks, though onset can be acute; HELLP syndrome often occurs concurrently or shortly after eclampsia; preterm labour is frequently induced due to eclampsia, occurring around the same time or days after; and severe complications such as haemorrhagic stroke, deep vein thrombosis, or maternal death would typically occur concurrently or within days to weeks of the eclampsia event.",compare_cohorts,gemini-2.5-flash
eclampsia,Frequently seen comorbidities,"pre-eclampsia, chronic hypertension, gestational hypertension, obesity, diabetes mellitus, renal disease, multiple gestation, autoimmune disease, antiphospholipid syndrome, sickle cell disease (Pre-eclampsia is the direct precursor to eclampsia, and conditions such as hypertension, obesity, and diabetes are common risk factors for developing pre-eclampsia and subsequent eclampsia.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
eclampsia,Frequently seen signs and symptoms,"tonic-clonic seizure, hypertension, proteinuria, severe headache, visual disturbances, epigastric pain, hyperreflexia, oedema, altered mental status, clonus (The defining characteristic of eclampsia is the presence of tonic-clonic seizures, accompanied by the signs and symptoms of severe pre-eclampsia such as elevated blood pressure, protein in the urine, and neurological symptoms.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
eclampsia,Frequently seen medications,"Magnesium sulfate, labetalol, hydralazine, nifedipine, dexamethasone, betamethasone, clonazepam, lorazepam, phenytoin, phenobarbital (Magnesium sulfate is the primary medication for seizure prevention and treatment in eclampsia, while antihypertensive medications are used to manage severe hypertension; corticosteroids may be used for fetal lung maturation or in cases of HELLP syndrome.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
ectopic_pregnancy,Clinical description,"An ectopic pregnancy occurs when a fertilised egg implants and grows outside the main cavity of the uterus, most commonly in a fallopian tube. This is often due to damage, inflammation, or structural abnormalities of the fallopian tube that prevent the embryo from reaching the uterus.",cohort_count,gemini-2.5-flash
ectopic_pregnancy,Frequency,"Ectopic pregnancy is a relatively common and potentially life-threatening gynaecological emergency, affecting 1-2% of all pregnancies. It is frequently identified in hospital admissions, emergency department data, and specialist gynaecology clinics, as well as sometimes in primary care records.",cohort_count,gemini-2.5-flash
ectopic_pregnancy,Median age of incident cases,"28 to 32 (Individuals typically present with ectopic pregnancy during their reproductive years, with the median age reflecting the peak age for pregnancy in general.)",cohort_characteristics,gemini-2.5-flash
ectopic_pregnancy,Percentage male,0% to 0% (Ectopic pregnancy is a condition that affects only individuals capable of pregnancy.),cohort_characteristics,gemini-2.5-flash
ectopic_pregnancy,Survival at five years,"99% to 99% (With timely diagnosis and appropriate medical or surgical intervention, the survival rate for individuals with ectopic pregnancy is very high in developed countries, although it remains a significant cause of maternal mortality worldwide if untreated.)",cohort_survival,gemini-2.5-flash
ectopic_pregnancy,Cohort overlap,"You would expect to see little to no overlap with antepartum haemorrhage, dysfunctional labour, eclampsia, gestational diabetes, hellp, preeclampsia, postpartum endometritis, postpartum haemorrhage, preterm labour, and stillbirth, as these are conditions of later pregnancy or the postpartum period. There would be a moderate overlap (5-20%) with miscarriage due to diagnostic confusion in early pregnancy and individuals having both conditions at different times. There would be a low overlap (less than 5%) with deep vein thrombosis pregnant and pulmonary embolism pregnant, and a very low overlap (less than 1%) with disseminated intravascular coagulation pregnant, which can be a severe complication of ruptured ectopic pregnancy. There might be a very low overlap (less than 1%) with anaphylaxis pregnant, bells palsy pregnant, encephalitis pregnant, guillain barre syndrome pregnant, haemorrhagic stroke pregnant, immune thrombocytopenia pregnant, ischaemic stroke pregnant, myocardial infarction pregnant, myocarditis or pericarditis pregnant, narcolepsy pregnant, thrombosis thrombocytopenia syndrome pregnant, and obesity pregnant, reflecting background prevalence of these conditions in pregnant populations. There would be a high overlap (70-100%) with mother table, as individuals with an ectopic pregnancy are pregnant and would typically be included in a general maternal or pregnancy cohort. There would be a moderate overlap (5-15%) with maternal death, as ectopic pregnancy is a leading cause of maternal mortality.",compare_cohorts,gemini-2.5-flash
ectopic_pregnancy,Cohort timing,"For individuals also in the maternal death cohort, entry into the maternal death cohort would typically occur concurrently with or shortly after (within days) the diagnosis of a ruptured ectopic pregnancy. For disseminated intravascular coagulation pregnant, this would typically occur concurrently with or shortly after (within days) a severe, ruptured ectopic pregnancy. For individuals also in the miscarriage cohort, the timing is variable; a person might have a miscarriage first, followed by an ectopic pregnancy later, or there may be initial diagnostic uncertainty leading to near-simultaneous coding if early pregnancy symptoms are non-specific. For mother table, entry would be concurrent, as the ectopic pregnancy itself signifies a pregnancy event.",compare_cohorts,gemini-2.5-flash
ectopic_pregnancy,Frequently seen comorbidities,"Previous ectopic pregnancy, pelvic inflammatory disease, endometriosis, previous abdominal surgery, infertility, assisted reproductive technology use, ruptured appendix, fibroids, previous pelvic surgery, sexually transmitted infections. (These conditions or factors can damage or alter the fallopian tubes, increasing the risk of the fertilised egg implanting outside the uterus.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
ectopic_pregnancy,Frequently seen signs and symptoms,"Abdominal pain, vaginal bleeding, amenorrhoea, shoulder tip pain, dizziness, syncope, pelvic tenderness, adnexal tenderness, cervical motion tenderness, hypotension. (These are the classic presenting symptoms of an ectopic pregnancy, reflecting abdominal irritation from bleeding and the effects of pregnancy, with more severe signs indicating rupture and hypovolaemic shock.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
ectopic_pregnancy,Frequently seen medications,"Methotrexate, paracetamol, ibuprofen, tramadol, codeine, morphine, ondansetron, cyclizine, blood products, intravenous fluids. (Methotrexate is used to medically manage unruptured ectopic pregnancies, while pain relief and anti-emetics are for symptom management; blood products and intravenous fluids may be required in cases of significant haemorrhage.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
gestational_diabetes,Clinical description,"Gestational diabetes mellitus is a condition where a woman without previously diagnosed diabetes develops high blood sugar levels during pregnancy, typically due to hormonal changes leading to insulin resistance.",cohort_count,gemini-2.5-flash
gestational_diabetes,Frequency,"Gestational diabetes is frequently seen, affecting 2-10% of pregnancies, and can be reliably identified in real-world healthcare data, especially from antenatal care records and laboratory results.",cohort_count,gemini-2.5-flash
gestational_diabetes,Median age of incident cases,24 to 35 (Individuals typically present with gestational diabetes during the second or third trimester of pregnancy.),cohort_characteristics,gemini-2.5-flash
gestational_diabetes,Percentage male,"0% to 0% (As gestational diabetes is a condition specifically of pregnancy, the proportion of cases who are male is zero.)",cohort_characteristics,gemini-2.5-flash
gestational_diabetes,Survival at five years,"99% to 100% (The survival rate for individuals with gestational diabetes is extremely high as it is a condition of pregnancy, though it increases the risk of developing type 2 diabetes later in life.)",cohort_survival,gemini-2.5-flash
gestational_diabetes,Cohort overlap,"You would expect to see significant overlap with obesity_pregnant (40-60%), preeclampsia (10-20%), dysfunctional_labour (10-20%), and preterm_labour (5-10%). Overlap with mother_table would be 100%. Overlap with other cohorts would generally be much lower, often less than 1%, as they represent distinct, though sometimes related, conditions.",compare_cohorts,gemini-2.5-flash
gestational_diabetes,Cohort timing,"Individuals with gestational diabetes typically enter the gestational_diabetes cohort during mid-pregnancy (around 24-28 weeks gestation). They would likely have entered the obesity_pregnant cohort earlier in pregnancy or pre-pregnancy. Entry into preeclampsia, dysfunctional_labour, or preterm_labour cohorts would typically occur later in the same pregnancy or at the time of labour, usually within weeks to months after gestational diabetes diagnosis.",compare_cohorts,gemini-2.5-flash
gestational_diabetes,Frequently seen comorbidities,"Obesity, pre-diabetes, polycystic ovary syndrome, preeclampsia, dysfunctional labour, preterm labour, postpartum haemorrhage, stillbirth, large for gestational age foetus, maternal obesity. (Many of these comorbidities are risk factors for gestational diabetes, while others are known complications of the condition.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
gestational_diabetes,Frequently seen signs and symptoms,"Increased thirst, frequent urination, increased hunger, fatigue, blurred vision, recurrent infections, weight gain, high blood pressure, large for gestational age foetus. (Many individuals with gestational diabetes are asymptomatic, and the condition is often detected through routine screening, though some may experience symptoms related to elevated blood glucose.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
gestational_diabetes,Frequently seen medications,"Insulin, metformin, glibenclamide, glyburide, acarbose. (These medications are used to help control blood glucose levels when diet and lifestyle modifications are insufficient.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
hellp,Clinical description,"HELLP syndrome is a rare and severe complication of pregnancy, usually occurring in the late stages, characterised by haemolysis (breakdown of red blood cells), elevated liver enzymes, and low platelet count. Its exact cause is unknown but it is considered a severe variant of pre-eclampsia, stemming from widespread endothelial dysfunction and microangiopathic haemolytic anaemia.",cohort_count,gemini-2.5-flash
hellp,Frequency,"HELLP syndrome is rare, occurring in 0.1% to 1% of all pregnancies and 10% to 20% of severe pre-eclampsia cases. It is most frequently identified in hospital or specialist obstetric settings due to its acute and severe nature, though initial signs may prompt presentation in primary care.",cohort_count,gemini-2.5-flash
hellp,Median age of incident cases,"25 to 35 (Individuals typically present with HELLP syndrome during their reproductive years, commonly in their late twenties to mid-thirties, mirroring the peak age range for pregnancy.)",cohort_characteristics,gemini-2.5-flash
hellp,Percentage male,"0% to 0% (As HELLP syndrome is a specific complication of pregnancy, the affected population is exclusively female.)",cohort_characteristics,gemini-2.5-flash
hellp,Survival at five years,"98% to 99% (Maternal survival rate after HELLP syndrome is very high once the acute phase is managed, as complications typically resolve postpartum.)",cohort_survival,gemini-2.5-flash
hellp,Cohort overlap,"You would expect to see substantial overlap with pre-eclampsia (90-100%), preterm labour (70-90%), and eclampsia (10-20%). Moderate overlap might occur with obesity pregnant (30-50%), gestational diabetes (5-15%), stillbirth (5-15%), antepartum haemorrhage (5-10%), and postpartum haemorrhage (5-10%). Lower overlap would be expected with disseminated intravascular coagulation pregnant (1-5%), maternal death (0.1-2.5%), haemorrhagic stroke pregnant (<1%), and ischaemic stroke pregnant (<1%). There would be 100% overlap with mother table.",compare_cohorts,gemini-2.5-flash
hellp,Cohort timing,"Individuals in the HELLP cohort would almost always enter the pre-eclampsia cohort concurrently or prior to HELLP diagnosis, as HELLP is a severe form of pre-eclampsia. Preterm labour and eclampsia would typically occur concurrently or within days of a HELLP diagnosis, as these are often direct consequences or severe progressions. Other severe complications like disseminated intravascular coagulation pregnant, antepartum haemorrhage, postpartum haemorrhage, stillbirth, maternal death, and stroke would occur concurrently or follow within days to weeks of HELLP onset. Entry into the mother table would precede HELLP diagnosis by several months, reflecting the general course of pregnancy.",compare_cohorts,gemini-2.5-flash
hellp,Frequently seen comorbidities,"Pre-eclampsia, gestational hypertension, chronic hypertension, gestational diabetes, obesity, renal insufficiency, thrombophilia, autoimmune disorders, multiple gestation (These comorbidities are frequently observed as HELLP syndrome is often a progression or severe manifestation of pre-existing or pregnancy-induced conditions that affect vascular and metabolic health.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
hellp,Frequently seen signs and symptoms,"Headache, nausea, vomiting, epigastric pain, right upper quadrant pain, jaundice, malaise, proteinuria, oedema, visual disturbances, hypertension (These signs and symptoms are characteristic of the multi-system involvement in HELLP syndrome, reflecting liver dysfunction, blood pressure elevation, and fluid retention.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
hellp,Frequently seen medications,"Magnesium sulfate, labetalol, nifedipine, hydralazine, dexamethasone, betamethasone, platelet transfusions, fresh frozen plasma, intravenous fluids, analgesics (Medications for HELLP syndrome primarily address the severe hypertension, prevent seizures, support foetal lung maturity if preterm, and manage the haematological complications.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-flash
preeclampsia,Clinical description,"Preeclampsia is a multisystem disorder of pregnancy characterised by new-onset hypertension and proteinuria after 20 weeks of gestation, or new-onset hypertension with signs of end-organ dysfunction. Its aetiology involves abnormal placental development leading to widespread endothelial dysfunction and systemic inflammation.",cohort_count,gemini-2.5-flash
preeclampsia,Frequency,"Preeclampsia is a common complication, affecting 2% to 8% of pregnancies worldwide, and can be reliably identified in electronic healthcare records, insurance claims, and hospital discharge data.",cohort_count,gemini-2.5-flash
preeclampsia,Median age of incident cases,"28 to 35 (The median age of individuals presenting with preeclampsia is typically in the late twenties to early thirties, often affecting first-time mothers or those with underlying risk factors.)",cohort_characteristics,gemini-2.5-flash
preeclampsia,Percentage male,"0% to 0.1% (Preeclampsia is a condition that occurs during pregnancy; therefore, the proportion of cases identified as male would be negligible, likely arising only from data recording errors or misclassifications.)",cohort_characteristics,gemini-2.5-flash
preeclampsia,Survival at five years,"99% to 100% (Maternal survival five years after presenting with preeclampsia is very high, as the condition typically resolves following delivery. However, preeclampsia is associated with an increased long-term risk of cardiovascular disease.)",cohort_survival,gemini-2.5-flash
preeclampsia,Cohort overlap,"Preeclampsia cases would have an approximate 0% overlap with ectopic_pregnancy and miscarriage, as preeclampsia is a condition of later pregnancy. An overlap of 0% to 1% is expected with anaphylaxis_pregnant, bells_palsy_pregnant, encephalitis_pregnant, guillain_barre_syndrome_pregnant, myocarditis_or_pericarditis_pregnant, narcolepsy_pregnant, and transverse_myelitis_pregnant, as these are generally unrelated. Overlap with pregnant_alcohol_misuse would be 5% to 15%. Overlap with antepartum_haemorrhage would be 5% to 20%. Overlap with dysfunctional_labour would be 10% to 30%. Overlap with postpartum_endometritis would be 5% to 15%. Overlap with postpartum_haemorrhage would be 10% to 30%. Overlap with deep_vein_thrombosis_pregnant would be 5% to 15%. Overlap with immune_thrombocytopenia_pregnant would be 5% to 10%. Overlap with myocardial_infarction_pregnant would be 1% to 5%. Overlap with pulmonary_embolism_pregnant would be 5% to 15%. Overlap with thrombosis_thrombocytopenia_syndrome_pregnant would be 1% to 5%. Overlap with stillbirth would be 5% to 15%. Overlap with maternal_death would be less than 1%. There would be an overlap of 20% to 40% with gestational_diabetes, as both are common pregnancy complications with shared risk factors. Overlap with obesity_pregnant would be 30% to 60%, given obesity is a significant risk factor for preeclampsia. Overlap with preterm_labour would be 30% to 70%, as preeclampsia often necessitates preterm delivery. There would be a high overlap of 70% to 100% with eclampsia and hellp, as these are severe manifestations or complications of preeclampsia. Overlap with disseminated_intravascular_coagulation_pregnant, haemorrhagic_stroke_pregnant, and ischaemic_stroke_pregnant would be 5% to 20%, as these are serious complications of severe preeclampsia. Overlap with mother_table would be 100%, as preeclampsia exclusively affects pregnant individuals.",compare_cohorts,gemini-2.5-flash
